player_name,season,competition,appearances,starts,minutes,shirt_number,position,rating,captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals,goals_conceded,assists,saves,passes_total,passes_key,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,pass_accuracy,source_provider,source_url
Armand Laurienté,2025/26,Serie A,37,32,2544,45,Midfielder,7.005405405405405,0,5,26,0,53,26,7,0,9,,793,53,28,1,7,278,109,78,29,45,42,4,0,,,0,0,,18.10810810810811,kickoff-derived (37/38 detailed matches),
Andrea Pinamonti,2025/26,Serie A,34,30,2397,99,Attacker,6.5588235294117645,0,4,25,0,55,30,9,0,3,,432,15,11,2,1,237,93,18,5,29,14,2,1,1,,0,1,,9.323529411764707,kickoff-derived (37/38 detailed matches),
Jay Idzes,2025/26,Serie A,34,34,2981,21,Defender,6.738235294117647,0,0,2,0,3,,,0,0,,1370,3,25,23,39,194,96,7,6,14,33,2,0,,2,0,0,,36.470588235294116,kickoff-derived (37/38 detailed matches),
Ismaël Koné,2025/26,Serie A,33,31,2594,90,Midfielder,7.0606060606060606,0,2,21,1,20,10,6,0,0,,1059,23,30,3,13,195,110,40,23,52,21,3,0,,,0,0,,29.303030303030305,kickoff-derived (37/38 detailed matches),
Nemanja Matić,2025/26,Serie A,33,30,2592,18,Midfielder,6.957575757575757,1,3,11,0,8,4,1,0,1,,1659,19,43,10,27,223,122,24,12,38,24,7,1,,,0,0,,43.36363636363637,kickoff-derived (37/38 detailed matches),
Sebastian Walukiewicz,2025/26,Serie A,32,31,2682,6,Defender,6.775,0,1,6,0,3,,,0,1,,1147,21,47,10,22,202,104,34,20,12,32,7,0,,,0,0,,30.78125,kickoff-derived (37/38 detailed matches),
Arijanet Murić,2025/26,Serie A,31,31,2797,49,Goalkeeper,7.129032258064516,0,0,0,6,,,,40,0,111,895,1,,,,19,18,,,3,1,4,0,,1,0,0,1,17.387096774193548,kickoff-derived (37/38 detailed matches),
Kristian Thorstvedt,2025/26,Serie A,31,26,2419,42,Midfielder,6.916129032258064,0,5,2,0,30,13,4,0,4,,1042,32,44,13,29,282,147,41,17,56,34,9,0,,,0,0,,27.774193548387096,kickoff-derived (37/38 detailed matches),
Tarik Muharemović,2025/26,Serie A,30,30,2662,80,Defender,6.943333333333333,0,0,1,3,11,5,2,0,2,,1526,5,42,30,42,198,128,11,7,17,22,7,0,,,0,0,,43.733333333333334,kickoff-derived (37/38 detailed matches),
Josh Doig,2025/26,Serie A,28,20,1759,3,Defender,6.622222222222223,0,8,10,7,9,3,,0,0,,680,15,32,11,20,165,81,28,7,16,15,5,0,,1,0,0,,21.46153846153846,kickoff-derived (37/38 detailed matches),
