player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,source_provider,source_external_id,source_url
Gianluca Pegolo,2013/14,Serie A,33,33,,,,,,StatBunker,4458,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Simone Zaza,2013/14,Serie A,33,24,,9,,,,StatBunker,30487,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Domenico Berardi,2013/14,Serie A,29,26,,16,,,,StatBunker,44251,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Antonio Floro Flores,2013/14,Serie A,29,17,,8,,,,StatBunker,21904,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Francesco Magnanelli,2013/14,Serie A,28,28,,,,,,StatBunker,44244,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Alessandro Longhi,2013/14,Serie A,28,27,,1,,,,StatBunker,44243,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Simone Missiroli,2013/14,Serie A,26,21,,1,,,,StatBunker,22058,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Marcello Gazzola,2013/14,Serie A,25,22,,,,,,StatBunker,21875,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Luca Antei,2013/14,Serie A,22,22,,,,,,StatBunker,45076,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Jasmin Kurtic,2013/14,Serie A,18,13,,,,,,StatBunker,37182,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Raman Chibsah,2013/14,Serie A,18,13,,,,,,StatBunker,44752,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Reto Ziegler,2013/14,Serie A,17,13,,,,,,StatBunker,18408,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Paolo Cannavaro,2013/14,Serie A,16,16,,,,,,StatBunker,4129,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Paolo Bianco,2013/14,Serie A,16,15,,,,,,StatBunker,21980,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Luca Marrone,2013/14,Serie A,15,14,,,,,,StatBunker,31708,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Davide Biondini,2013/14,Serie A,15,12,,1,,,,StatBunker,22063,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
Sergio Floccari,2013/14,Serie A,15,8,,,,,,StatBunker,21975,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=462&club_id=1788
