player_name,season,competition,appearances,starts,goals,source_provider,source_url
Francesco Acerbi,2016/17,Europa League,10,10,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Pol Lirola,2016/17,Europa League,7,7,1,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Antonino Ragusa,2016/17,Europa League,6,4,1,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Federico Ricci,2016/17,Europa League,6,3,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Andrea Consigli,2016/17,Europa League,9,9,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Lorenzo Pellegrini,2016/17,Europa League,5,4,1,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Grégoire Defrel,2016/17,Europa League,8,7,4,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Francesco Magnanelli,2016/17,Europa League,9,8,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Matteo Politano,2016/17,Europa League,9,5,3,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Alessandro Matri,2016/17,Europa League,6,4,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Davide Biondini,2016/17,Europa League,8,8,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Luca Mazzitelli,2016/17,Europa League,5,3,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Federico Peluso,2016/17,Europa League,7,7,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Paolo Cannavaro,2016/17,Europa League,7,7,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Claud Adjapong,2016/17,Europa League,3,2,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Timo Letschert,2016/17,Europa League,3,2,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Luca Antei,2016/17,Europa League,2,2,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Marcello Gazzola,2016/17,Europa League,5,5,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Simone Caputo,2016/17,Europa League,2,1,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Simone Missiroli,2016/17,Europa League,2,1,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Gianluca Pegolo,2016/17,Europa League,1,1,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Alfred Duncan,2016/17,Europa League,5,4,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Simone Franchini,2016/17,Europa League,1,0,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Domenico Berardi,2016/17,Europa League,4,4,5,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Nicola Sansone,2016/17,Europa League,2,2,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Diego Falcinelli,2016/17,Europa League,4,0,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Stefano Sensi,2016/17,Europa League,2,0,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Marcello Trotta,2016/17,Europa League,2,0,0,StatBunker + match reports,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=572&club_id=1788
Gianluca Pegolo,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Mert Müldür,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Marlon,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Federico Peluso,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Rogério,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Pedro Obiang,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Maxime López,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Brian Oddei,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Filip Đuričić,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Jeremie Boga,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Giacomo Raspadori,2020/21,Coppa Italia,1,1,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Georgios Kyriakopoulos,2020/21,Coppa Italia,1,0,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Lukáš Haraslín,2020/21,Coppa Italia,1,0,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Kaan Ayhan,2020/21,Coppa Italia,1,0,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Nicolás Schiappacasse,2020/21,Coppa Italia,1,0,0,verified match reports,https://sport.sky.it/calcio/coppa-italia/2021/01/14/sassuolo-spal-risultato-gol
Gianluca Pegolo,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Ruan Tressoldi,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Gian Marco Ferrari,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Georgios Kyriakopoulos,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Abdou Harroui,2021/22,Coppa Italia,2,2,1,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Giacomo Raspadori,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Gianluca Scamacca,2021/22,Coppa Italia,2,2,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Mert Müldür,2021/22,Coppa Italia,2,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Kaan Ayhan,2021/22,Coppa Italia,1,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Rogério,2021/22,Coppa Italia,1,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Francesco Magnanelli,2021/22,Coppa Italia,1,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Grégoire Defrel,2021/22,Coppa Italia,2,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Maxime López,2021/22,Coppa Italia,2,1,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
Davide Frattesi,2021/22,Coppa Italia,2,0,0,verified match reports,https://www.tuttosport.com/news/calcio/coppa-italia/2022/02/10-89758239/juve-sassuolo_2-1_il_tabellino
