name,nationality,birth_date,position,shirt_number,first_appearance,last_appearance,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,clean_sheets,current_squad,source_provider,source_external_id,source_url
Jay Idzes,Indonesia,,DF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Sebastian Walukiewicz,Poland,,DF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Ismaël Koné,Canada,,MF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Armand Lauriente,France,,FW,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Arijanet Muric,Kosovo,,GK,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Tarik Muharemovic,Bosnia and Herzegovina,,DF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Andrea Pinamonti,Italy,,FW,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Nemanja Matić,Serbia,,MF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Kristian Thorstvedt,Norway,,MF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Domenico Berardi,Italy,,FW,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Alieu Fadera,Gambia,,FW,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Pedro Felipe,Brazil,,DF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Daniel Boloca,Romania,,MF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Stefano Turati,Italy,,GK,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Gioele Zacchi,Italy,,GK,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Tommaso Macchioni,Italy,,DF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
Christian Frangella,Italy,,MF,,,,,,,,,,,,0,FBref,,https://fbref.com/en/squads/e2befd26/2025-2026/Sassuolo-Stats
