match_date,home_team,away_team,stadium,referee,source_provider,source_url,last_verified_at
2008-08-30,Salernitana,Sassuolo,Stadio Arechi,Dino Tommasi,Sassuolo2000 + Transfermarkt,https://www.sassuolo2000.it/2008/08/25/calcio-serie-b-tim-la-prevendita-per-salernitana-sassuolo/,2026-08-10
2008-09-13,Sassuolo,Grosseto,Stadio Alberto Braglia,Renzo Candussio,Sassuolo2000 + Gazzetta del Mezzogiorno + Transfermarkt,https://www.sassuolo2000.it/2008/09/09/sassuolo-grosseto-i-punti-vendita-dei-biglietti-a-grosseto-e-provincia/,2026-08-10
2008-09-16,Sassuolo,Pisa,Stadio Alberto Braglia,Sebastiano Peruzzo,Transfermarkt + Sassuolo2000,https://www.transfermarkt.com/spielbericht/index/spielbericht/924235,2026-08-10
2008-09-20,Triestina,Sassuolo,Stadio Nereo Rocco,Domenico Celi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-09-23,Sassuolo,AlbinoLeffe,Stadio Alberto Braglia,Paolo Tagliavento,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-09-27,Rimini,Sassuolo,Stadio Romeo Neri,Antonio Giannoccaro,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-10-04,Sassuolo,Treviso,Stadio Alberto Braglia,Nicola Stefanini,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-10-18,Sassuolo,Mantova,Stadio Alberto Braglia,Gianluca Rocchi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-10-21,Bari,Sassuolo,Stadio San Nicola,Emidio Morganti,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-10-25,Vicenza,Sassuolo,Stadio Romeo Menti,Riccardo Tozzi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-10-28,Sassuolo,Empoli,Stadio Alberto Braglia,Daniele Orsato,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-11-01,Avellino,Sassuolo,Stadio Partenio,Leonardo Baracani,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-11-08,Sassuolo,Cittadella,Stadio Alberto Braglia,Maurizio Ciampi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-11-15,Piacenza,Sassuolo,Stadio Leonardo Garilli,Dino Tommasi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-11-24,Sassuolo,Modena,Stadio Alberto Braglia,Massimiliano Saccani,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-11-29,Ascoli,Sassuolo,Stadio Cino e Lillo Del Duca,Gabriele Gava,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-12-06,Frosinone,Sassuolo,Stadio Matusa,Valerio Scoditti,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-12-15,Sassuolo,Ancona,Stadio Alberto Braglia,Denis Pinzani,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2008-12-20,Livorno,Sassuolo,Stadio Armando Picchi,Andrea Gervasoni,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-01-17,Parma,Sassuolo,Stadio Ennio Tardini,Matteo Trefoloni,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-01-24,Sassuolo,Salernitana,Stadio Alberto Braglia,Paolo Valeri,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-01-27,Sassuolo,Brescia,Stadio Alberto Braglia,Nicola Ayroldi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-01-31,Pisa,Sassuolo,Stadio Arena Garibaldi,Christian Brighi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-02-07,Grosseto,Sassuolo,Stadio Carlo Zecchini,Carmine Russo,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-02-13,Sassuolo,Triestina,Stadio Alberto Braglia,Sebastiano Peruzzo,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-02-17,AlbinoLeffe,Sassuolo,Stadio Atleti Azzurri d'Italia,Paolo Tagliavento,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-02-21,Sassuolo,Rimini,Stadio Alberto Braglia,Gianluca Velotto,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-02-28,Treviso,Sassuolo,Stadio Omobono Tenni,Antonio Damato,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-03-08,Sassuolo,Bari,Stadio Alberto Braglia,Paolo Dondarini,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-03-14,Mantova,Sassuolo,Stadio Danilo Martelli,Roberto Rosetti,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-03-17,Sassuolo,Vicenza,Stadio Alberto Braglia,Riccardo Tozzi,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-03-21,Empoli,Sassuolo,Stadio Carlo Castellani,Luca Banti,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
2009-04-04,Cittadella,Sassuolo,Stadio Pier Cesare Tombolato,Valerio Scoditti,User-provided research workbook + Transfermarkt match sheets,https://www.transfermarkt.com/us-sassuolo/spielplan/verein/6574/saison_id/2008,2026-08-10
