provider_player_id,provider_player_name,reep_id,reep_name,date_of_birth,key_sofascore,key_api_football,local_player_id,local_player_name,status,confidence,source_url,last_verified_at
218971,Achraf Lazaar,reep_p582652a9,Achraf Lazaar,1992-01-22,,19376,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
228928,Adam Marušić,reep_pf4ea39dc,Adam Marušić,1992-10-17,267619,1844,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
232822,Adam Masina,reep_pc5609d07,Adam Masina,1994-01-02,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
299557,Ádám Nagy,reep_p568ff56e,Ádám Nagy,1995-06-17,795713,30481,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
300830,Adam Ounas,reep_p54f81638,Adam Ounas,1996-11-11,818440,327,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
9080,Adel Taarabt,reep_pa555df7f,Adel Taarabt,1989-05-24,18126,578,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20941,Adem Ljajić,reep_p3bda4a5b,Adem Ljajić,1991-09-29,39587,2002,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21655,Adrian Marius Stoian,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
213387,Adrián Ricardo Centurión,reep_p430283d3,Ricardo Centurión,1993-01-19,249397,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20812,Afriyie Acquah,reep_p1c8d0def,Afriyie Acquah,1992-01-05,127257,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20540,Albano Benjamín Bizzarri,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21415,Alberto Brignoli,reep_pcad93803,Alberto Brignoli,1991-08-19,142904,31538,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
134435,Alberto Grassi,reep_p5e77fae1,Alberto Grassi,1995-03-07,186845,31021,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20661,Alberto Paloschi,reep_pec9ce155,Alberto Paloschi,1990-01-04,33903,30878,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20434,Aleandro Rosi,reep_pa30c80c5,Aleandro Rosi,1987-05-17,5572,,3316,Aleandro Rosi,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
339791,Alejandro Berenguer Remiro,reep_p761b5ba2,Alejandro Berenguer Remiro,1995-07-04,592012,30510,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21077,Alejandro Darío Gómez,reep_pcf06e7be,Papu Gómez,1988-02-15,33381,30433,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
8306,Aleksandar Kolarov,reep_p7db643e7,Aleksandar Kolarov,1985-11-10,26097,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
99423,Aleksandar Tonev,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
22566,Alessandro  Florenzi,reep_p5b7964bd,Alessandro Florenzi,1991-03-11,,769,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
405597,Alessandro Bastoni,reep_p5028fe49,Alessandro Bastoni,1999-04-13,826188,31009,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
270034,Alessandro Bellemo,reep_p8c10f0d7,Alessandro Bellemo,1995-08-07,346060,56193,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
417230,Alessandro Confente,reep_pfe20c0bf,Alessandro Confente,1998-06-07,820159,56864,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
263591,Alessandro Deiola,reep_p00d30ec3,Alessandro Deiola,1995-08-01,328109,30561,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20929,Alessandro Gamberini,reep_p7bcf1631,Alessandro Gamberini,1981-08-27,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20478,Alessandro Matri,reep_p3d49fbcd,Alessandro Matri,1984-08-19,25577,,3332,Alessandro Matri,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
346908,Alessandro Murgia,reep_p76e466b4,Alessandro Murgia,1996-08-09,559470,30868,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20947,Alessio Cerci,reep_pcad1c0c2,Alessio Cerci,1987-07-23,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
134413,Alessio Cragno,reep_p8255fb71,Alessio Cragno,1994-06-28,148740,30546,162,Alessio Cragno,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
146588,Alessio Romagnoli,reep_p8dcf7844,Alessio Romagnoli,1995-01-12,227864,1632,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21494,Alex Cordaz,reep_p18a6cdd6,Alex Cordaz,1983-01-01,43872,30974,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
263433,Alex Ferrari,reep_p01125b8c,Alex Ferrari,1994-07-01,327429,30446,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
286215,Alex Meret,reep_pfcf02dc2,Alex Meret,1997-03-22,592794,312,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
70084,Alex Sandro Lobo Silva,reep_pcf238e61,Alex Sandro,1991-01-26,84854,860,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21098,Alfred Benjamin Gomis,reep_p14f20892,Alfred Gomis,1993-09-05,143695,2985,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
131184,Ali Adnan Kadhim Al Tameemi,reep_p87c9bba0,Ali Adnan Kadhim,1993-12-19,331429,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
85113,Alin Dorinel Toșca,reep_p3244d75d,Alin Toșca,1992-03-14,110210,2366,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
214220,Alisson Ramsés Becker,reep_p5ea14e80,Alisson,1992-10-02,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
40726,Allan Marques Loureiro,reep_p3cf93ee3,Allan,1991-01-08,,326,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
374013,Amadou Diawara,reep_p036782d7,Amadou Diawara,1997-07-17,788895,324,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
134484,Amato Ciciretti,reep_p21589ec0,Amato Ciciretti,1993-12-31,185349,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
135927,André Miguel Valente Silva,reep_p7ea0181a,André Silva,1995-11-06,190159,2063,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20815,Andrea Barberis,reep_pcc617b2c,Andrea Barberis,1993-12-11,152910,30989,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20458,Andrea Barzagli,reep_p8a582179,Andrea Barzagli,1981-05-08,2860,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21234,Andrea Belotti,reep_pb8a8a4b5,Andrea Belotti,1993-12-20,,30509,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20749,Andrea Bertolacci,reep_pdb30cb29,Andrea Bertolacci,1991-01-11,47568,1636,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20832,Andrea Consigli,reep_pec997d44,Andrea Consigli,1987-01-27,38618,30516,3321,Andrea Consigli,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20874,Andrea Cossu,reep_pbfe24ee8,Andrea Cossu,1980-05-03,11661,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20609,Andrea Costa,reep_p24b38ea6,Andrea Costa,1986-02-01,34501,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
523089,Andrea Danzi,reep_p139d1f38,Andrea Danzi,1999-02-25,893993,30928,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20841,Andrea Masiello,reep_p6054e692,Andrea Masiello,1986-02-05,17814,30426,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
272878,Andrea Nalini,reep_p6d5d2fc0,Andrea Nalini,1990-06-20,347728,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
246175,Andrea Petagna,reep_pe0f1cc11,Andrea Petagna,1995-06-30,295973,30879,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
405608,Andrea Pinamonti,reep_pd5ab1bcb,Andrea Pinamonti,1999-05-19,826198,31094,278,Andrea Pinamonti,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
