match_date,home_team,away_team,stadium,referee,source_provider,source_url,last_verified_at
2016-07-28,Luzern,Sassuolo,Luzern Arena,Andreas Ekberg,UEFA,https://www.uefa.com/uefaeuropaleague/match/2020373--luzern-vs-sassuolo/matchinfo/,2026-08-09
2016-08-04,Sassuolo,Luzern,Stadio Città del Tricolore,Ali Palabıyık,UEFA,https://www.uefa.com/uefaeuropaleague/match/2020402--sassuolo-vs-luzern/matchinfo/,2026-08-09
2016-08-18,Sassuolo,Crvena Zvezda,Stadio Città del Tricolore,Serdar Gözübüyük,UEFA,https://www.uefa.com/uefaeuropaleague/match/2020454--sassuolo-vs-crvena-zvezda/matchinfo/,2026-08-09
2016-08-25,Crvena Zvezda,Sassuolo,Stadion Rajko Mitić,David Fernández Borbalán,UEFA,https://www.uefa.com/uefaeuropaleague/match/2020476--crvena-zvezda-vs-sassuolo/matchinfo/,2026-08-09
2016-09-15,Sassuolo,Athletic Club,Stadio Città del Tricolore,Paweł Raczkowski,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019389--sassuolo-vs-athletic-club/matchinfo/,2026-08-09
2016-09-29,Genk,Sassuolo,KRC Genk Arena,Liran Liany,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019413--genk-vs-sassuolo/matchinfo/,2026-08-09
2016-10-20,Rapid Wien,Sassuolo,Weststadion,Hugo Miguel,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019437--rapid-wien-vs-sassuolo/matchinfo/,2026-08-09
2016-11-03,Sassuolo,Rapid Wien,Stadio Città del Tricolore,Craig Pawson,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019461--sassuolo-vs-sk-rapid/matchinfo/,2026-08-09
2016-11-24,Athletic Club,Sassuolo,Estadio de San Mamés,Viktor Kassai,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019485--athletic-club-vs-sassuolo/matchinfo/,2026-08-09
2016-12-08,Sassuolo,Genk,Stadio Città del Tricolore,Orel Grinfeeld,UEFA,https://www.uefa.com/uefaeuropaleague/match/2019509--sassuolo-vs-genk/matchinfo/,2026-08-09
