match_date,home_team,away_team,home_score,away_score,stadium,referee,provider_match_id,lineups,key_events,shots,source_provider,source_url,last_verified_at
2015-08-23,Sassuolo,Napoli,2,1,MAPEI Stadium - Città del Tricolore,Daniele Doveri,3878546,2,15,32,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-08-29,Bologna,Sassuolo,0,1,Stadio Renato Dall''Ara,Carmine Russo,3878550,2,11,16,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-09-13,Sassuolo,Atalanta,2,2,MAPEI Stadium - Città del Tricolore,Maurizio Mariani,3878599,2,20,19,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-09-20,AS Roma,Sassuolo,2,2,Estadio Olímpico,Davide Massa,3878607,2,13,32,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-09-23,Palermo,Sassuolo,0,1,Stadio Renzo Barbera,Luca Pairetto,3879544,2,14,23,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-09-27,Sassuolo,Chievo,1,1,MAPEI Stadium - Città del Tricolore,Michael Fabbri,3879553,2,12,28,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-10-04,Empoli,Sassuolo,1,0,Stadio Carlo Castellani,Gianpaolo Calvarese	,3879563,2,14,26,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-10-18,Sassuolo,Lazio,2,1,MAPEI Stadium - Città del Tricolore,Marco Guida,3879573,2,15,28,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-10-25,AC Milan,Sassuolo,2,1,Stadio Giuseppe Meazza    ,Gianluca Rocchi,3879585,2,13,25,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-10-28,Sassuolo,Juventus,1,0,MAPEI Stadium - Città del Tricolore,Andrea Gervasoni,3879591,2,12,21,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-11-01,Udinese,Sassuolo,0,0,Stadio Friuli,Federico La Penna,3879603,2,9,20,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-11-08,Sassuolo,Carpi,1,0,MAPEI Stadium - Città del Tricolore,Paolo Valeri,3879615,2,15,16,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-11-22,Genoa,Sassuolo,2,1,Stadio Comunale Luigi Ferraris,Nicola Rizzoli,3879619,2,11,24,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
2015-11-30,Sassuolo,Fiorentina,1,1,MAPEI Stadium - Città del Tricolore,Davide Massa,3879636,2,11,34,StatsBomb Open Data,https://github.com/hudl/open-data,2026-08-13
