player_name,season,competition,appearances,starts,substitutes_in,substitutes_out,bench_appearances,goals,yellow_cards,red_cards_combined,position,source_provider,source_url,last_verified_at
Walter Bressan,2008/09,Serie B,41,41,0,0,0,0,2,0,G,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Emiliano Salvetti,2008/09,Serie B,39,35,4,13,2,6,1,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Francesco Magnanelli,2008/09,Serie B,37,36,1,6,0,0,9,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Alessandro Noselli,2008/09,Serie B,37,33,4,18,1,16,3,0,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Riccardo Zampagna,2008/09,Serie B,36,35,1,8,0,11,9,1,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Gaetano Masucci,2008/09,Serie B,35,23,12,17,1,3,5,0,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Filippo Pensalfini,2008/09,Serie B,32,20,12,7,1,4,8,1,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Andrea Poli,2008/09,Serie B,32,22,10,11,4,5,5,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Nicola Donazzan,2008/09,Serie B,31,31,0,2,1,0,8,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Angelo Rea,2008/09,Serie B,31,31,0,4,0,2,10,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Fabrizio Anselmi,2008/09,Serie B,31,28,3,2,8,0,10,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Massimiliano Fusani,2008/09,Serie B,29,16,13,6,11,0,4,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Horacio Erpen,2008/09,Serie B,29,15,14,12,9,3,6,0,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Marco Andreolli,2008/09,Serie B,28,28,0,1,2,1,4,1,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Stefano Pagani,2008/09,Serie B,26,12,14,10,5,2,0,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Marco Piccioni,2008/09,Serie B,23,23,0,2,1,0,7,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Nicolò Consolini,2008/09,Serie B,18,14,4,2,10,0,1,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Daniele Martinetti,2008/09,Serie B,13,5,8,3,2,3,2,0,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Attila Filkor,2008/09,Serie B,10,0,10,0,12,0,1,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Alessandro Bastrini,2008/09,Serie B,9,7,2,0,9,0,0,0,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Francesco Della Rocca,2008/09,Serie B,7,1,6,1,18,0,0,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Andy Selva,2008/09,Serie B,6,0,6,0,6,0,1,0,F,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Sebastiano Girelli,2008/09,Serie B,5,5,0,1,12,0,1,1,D,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
William Jidayi,2008/09,Serie B,2,0,2,0,6,0,0,0,M,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
Alberto Pomini,2008/09,Serie B,1,1,0,0,24,0,0,0,G,calcio-seriea.net,http://calcio-seriea.net/presenze/2008/3079/,2026-08-10
