player_name,field,statscrew_value,archive_value,selected_value,resolution,status,evidence_url,note
Walter Bressan,appearances,40,41,41,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Walter Bressan,starts,40,41,41,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Emiliano Salvetti,appearances,37,39,39,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Emiliano Salvetti,starts,33,35,35,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Emiliano Salvetti,yellow_cards,2,1,1,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Emiliano Salvetti,position,,M,M,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Francesco Magnanelli,appearances,35,37,37,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Francesco Magnanelli,starts,34,36,36,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Alessandro Noselli,appearances,35,37,37,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Alessandro Noselli,starts,31,33,33,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Alessandro Noselli,position,,F,F,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Riccardo Zampagna,appearances,35,36,36,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Riccardo Zampagna,starts,34,35,35,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Gaetano Masucci,appearances,34,35,35,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Gaetano Masucci,starts,22,23,23,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Gaetano Masucci,yellow_cards,4,5,5,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Filippo Pensalfini,appearances,30,32,32,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Filippo Pensalfini,starts,19,20,20,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Filippo Pensalfini,goals,3,4,4,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Filippo Pensalfini,red_cards,0,1,1,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Filippo Pensalfini,position,,M,M,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Andrea Poli,appearances,30,32,32,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Andrea Poli,starts,21,22,22,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Andrea Poli,yellow_cards,4,5,5,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Nicola Donazzan,appearances,30,31,31,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Nicola Donazzan,starts,30,31,31,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Angelo Rea,appearances,29,31,31,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Angelo Rea,starts,29,31,31,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Fabrizio Anselmi,position,,D,D,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
Massimiliano Fusani,appearances,27,29,29,Complete season appearance archive selected over incomplete aggregate table.,resolved,http://calcio-seriea.net/presenze/2008/3079/,"Archive totals reconcile 42 matches: 588 appearances, 126 substitute entries, 462 starts."
