player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Mauro Minelli,2009/10,Serie B,40,40,3595,0,0,4,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Walter Bressan,2009/10,Serie B,37,37,3330,1,0,2,0,0,G,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Luigi Riccio,2009/10,Serie B,38,38,3327,4,4,4,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Francesco Magnanelli,2009/10,Serie B,38,37,3247,0,4,7,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Alessandro Noselli,2009/10,Serie B,39,35,3015,18,2,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Tiziano Polenghi,2009/10,Serie B,32,31,2711,2,0,9,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Jonathan Rossini,2009/10,Serie B,31,29,2613,2,0,6,0,1,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Gianluigi Bianco,2009/10,Serie B,29,22,2119,1,0,3,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Daniele Martinetti,2009/10,Serie B,32,24,1991,10,0,4,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Emiliano Salvetti,2009/10,Serie B,28,21,1870,3,2,2,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
