player_name,field,statscrew_value,worldfootball_value,resolution,status,evidence_url,note
Francesco Magnanelli,minutes,3437,3438,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Andrea De Falco,minutes,,2560,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Angelo Rea,minutes,2332,2340,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Andrea Catellani,minutes,2278,2291,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Luigi Riccio,minutes,2277,2266,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Daniele Quadrini,minutes,,2106,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Daniele Quadrini,position,"M, F",F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Paolo Bianco,minutes,,1999,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Nicolò Consolini,minutes,,1893,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Nicolò Consolini,position,,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Daniele Martinetti,minutes,1846,1856,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Daniele Martinetti,position,,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Nicola Donazzan,minutes,1797,1811,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Carl Valeri,minutes,1768,1769,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Walter Bressan,minutes,1755,1756,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Michele Troiano,minutes,,1399,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Mauro Minelli,minutes,1395,1396,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Marco Piccioni,minutes,1362,1363,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Tiziano Polenghi,minutes,1348,1353,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Salvatore Bruno,minutes,1286,1340,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Alessandro Noselli,minutes,1275,1278,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Alessandro Noselli,position,,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Gaetano Masucci,minutes,1053,1014,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Antonio Bocchetti,minutes,719,722,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Gianluigi Bianco,minutes,,658,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Gianluigi Bianco,position,"D, M",D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Massimiliano Fusani,minutes,646,652,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Massimiliano Fusani,position,,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Antonio Cinelli,minutes,262,310,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Roberto Candido,position,"M, F",M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Simone Pecorini,position,"D, M",M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Mario Titone,position,F,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Pellegrino Albanese,position,,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Sebastiano Girelli,minutes,22,23,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
Sebastiano Girelli,position,,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,Complete Serie B 2010/2011 table verified.
