player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,position,source_provider,source_url,last_verified_at
Daniele Martinetti,2010/11,Serie B,31,20,1846,7,2,5,1,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Salvatore Bruno,2010/11,Serie B,22,16,1286,6,1,2,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Alessandro Noselli,2010/11,Serie B,17,14,1275,4,3,3,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Andrea Catellani,2010/11,Serie B,33,27,2278,4,3,3,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Andrea De Falco,2010/11,Serie B,35,28,,5,0,7,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Daniele Quadrini,2010/11,Serie B,33,23,,4,0,2,0,"M, F",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Gaetano Masucci,2010/11,Serie B,18,11,1053,3,0,2,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Michele Troiano,2010/11,Serie B,22,15,,3,0,7,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Francesco Magnanelli,2010/11,Serie B,39,39,3437,2,1,4,1,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Marco Piccioni,2010/11,Serie B,18,14,1362,1,1,4,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Angelo Rea,2010/11,Serie B,30,27,2332,1,1,6,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Nicolò Consolini,2010/11,Serie B,27,20,,1,0,1,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Massimiliano Fusani,2010/11,Serie B,17,7,646,0,1,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Tiziano Polenghi,2010/11,Serie B,20,16,1348,0,1,1,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Simone Pecorini,2010/11,Serie B,1,1,90,0,0,0,0,"D, M",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Roberto Candido,2010/11,Serie B,1,1,90,0,0,0,0,"M, F",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Vincenzo Ferrara,2010/11,Serie B,1,0,2,0,0,0,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Sebastiano Girelli,2010/11,Serie B,1,0,22,0,0,0,1,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Pellegrino Albanese,2010/11,Serie B,1,0,24,0,0,0,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Mario Titone,2010/11,Serie B,2,0,25,0,0,0,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Andrea Vignali,2010/11,Serie B,4,0,46,0,0,0,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Antonio Cinelli,2010/11,Serie B,5,4,262,0,0,1,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Riccardo Barbuti,2010/11,Serie B,6,0,88,0,0,0,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Gianluigi Bianco,2010/11,Serie B,9,7,,0,0,1,0,"D, M",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Antonio Bocchetti,2010/11,Serie B,11,8,719,0,0,3,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Mauro Minelli,2010/11,Serie B,16,16,1395,0,0,2,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Jonathan Rossini,2010/11,Serie B,18,18,1583,0,0,7,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Walter Bressan,2010/11,Serie B,20,20,1755,0,0,0,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Nicola Donazzan,2010/11,Serie B,21,20,1797,0,0,2,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Carl Valeri,2010/11,Serie B,22,20,1768,0,0,6,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Alberto Pomini,2010/11,Serie B,23,22,2025,0,0,0,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Paolo Bianco,2010/11,Serie B,26,23,,0,0,5,1,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
Luigi Riccio,2010/11,Serie B,34,25,2277,0,0,4,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2010,2026-08-10
