player_name,season,competition,appearances,minutes,starts,substitutes_in,substitutes_out,goals,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Francesco Magnanelli,2010/11,Serie B,39,3438,39,0,1,2,4,0,1,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Andrea De Falco,2010/11,Serie B,35,2560,28,7,6,5,7,1,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Angelo Rea,2010/11,Serie B,30,2340,27,3,8,1,6,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Andrea Catellani,2010/11,Serie B,33,2291,27,6,16,4,3,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Luigi Riccio,2010/11,Serie B,34,2266,25,9,7,0,4,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Daniele Quadrini,2010/11,Serie B,33,2106,23,10,12,4,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Alberto Pomini,2010/11,Serie B,23,2025,22,1,0,0,0,0,0,G,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Paolo Bianco,2010/11,Serie B,26,1999,23,3,3,0,5,0,1,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Nicolò Consolini,2010/11,Serie B,27,1893,20,7,6,1,1,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Daniele Martinetti,2010/11,Serie B,31,1856,20,11,12,7,5,0,1,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Nicola Donazzan,2010/11,Serie B,21,1811,20,1,1,0,2,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Carl Valeri,2010/11,Serie B,22,1769,20,2,4,0,6,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Walter Bressan,2010/11,Serie B,20,1756,20,0,1,0,0,0,0,G,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Jonathan Rossini,2010/11,Serie B,18,1583,18,0,0,0,7,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Michele Troiano,2010/11,Serie B,22,1399,15,7,5,3,7,1,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Mauro Minelli,2010/11,Serie B,16,1396,16,0,1,0,2,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
