player_name,field,statscrew_value,worldfootball_value,resolution,status,evidence_url,note
Alberto Pomini,yellow_cards,1,2,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Alessandro Longhi,minutes,3460,3468,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Gianluca Sansone,minutes,2980,2993,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Francesco Magnanelli,minutes,2870,2871,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Lino Marzorati,minutes,2832,2833,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Emanuele Terranova,minutes,2802,2806,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Marco Piccioni,minutes,2692,2693,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Isaac Cofie,appearances,34,35,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Isaac Cofie,minutes,,2581,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Carl Valeri,minutes,2264,2267,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Nicolò Consolini,minutes,1832,1835,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Nicolò Consolini,position,,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Tommaso Bianchi,minutes,1713,1730,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Richmond Boakye,appearances,33,32,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Richmond Boakye,minutes,,1650,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Simone Missiroli,minutes,1640,1648,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Simone Missiroli,position,M,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Lorenzo Laverone,minutes,1533,1529,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Lorenzo Laverone,position,"D, M",D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Ettore Marchi,minutes,1429,1441,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Ettore Marchi,position,"F, M",F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Gaetano Masucci,minutes,1221,1235,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Marcello Gazzola,minutes,1045,1047,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Marcello Gazzola,position,"D, M",D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Gennaro Troianiello,minutes,517,516,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Salvatore Bruno,minutes,408,414,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Karim Laribi,minutes,270,271,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Karim Laribi,yellow_cards,2,3,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Michele Troiano,minutes,193,195,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Angelo Rea,minutes,157,158,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Alberto Vaccari,minutes,,90,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Alberto Vaccari,position,,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
Alessandro Noselli,position,,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,Serie B 2011/2012 selected; complete 27-player table verified.
