player_name,position,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,source_provider,source_url,last_verified_at
Richmond Boakye,F,2012/13,Serie B,32,22,2049,11,6,3,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Domenico Berardi,F,2012/13,Serie B,37,26,2330,11,6,3,1,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Leonardo Pavoletti,F,2012/13,Serie B,33,21,1855,11,3,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Emanuele Terranova,D,2012/13,Serie B,37,37,3269,11,0,2,1,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Simone Missiroli,M,2012/13,Serie B,37,37,3237,6,9,3,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Andrea Catellani,F,2012/13,Serie B,34,25,2062,6,4,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Gennaro Troianiello,F,2012/13,Serie B,29,22,1701,5,5,5,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Gaetano Masucci,F,2012/13,Serie B,14,5,388,4,1,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Francesco Magnanelli,M,2012/13,Serie B,40,40,3578,1,7,10,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Tommaso Bianchi,M,2012/13,Serie B,30,23,2095,3,2,7,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Raman Chibsah,M,2012/13,Serie B,28,16,1598,2,2,3,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Michele Troiano,M,2012/13,Serie B,30,10,1210,2,1,6,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Marcello Gazzola,"D, M",2012/13,Serie B,32,30,2699,1,2,8,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Alessandro Longhi,D,2012/13,Serie B,41,38,3427,1,2,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Carl Valeri,M,2012/13,Serie B,3,3,187,1,1,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Lorenzo Laverone,"D, M",2012/13,Serie B,14,11,1014,0,1,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Mirko Pigliacelli,G,2012/13,Serie B,1,1,90,0,0,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Luca Antei,D,2012/13,Serie B,2,2,147,0,0,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Karim Laribi,M,2012/13,Serie B,9,2,221,0,0,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Paolo Frascatore,D,2012/13,Serie B,11,4,398,0,0,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Lino Marzorati,D,2012/13,Serie B,20,14,1385,0,0,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Paolo Bianco,D,2012/13,Serie B,33,32,2878,0,0,7,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
Alberto Pomini,G,2012/13,Serie B,41,41,3690,0,0,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2012,2026-08-09
