season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2019/20,Serie A,Juventus,1,83,38,26,5,7,76,43,33,champion|champions_league,Campione d Italia 2019/20 e qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Inter,2,82,38,24,10,4,81,36,45,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Atalanta,3,78,38,23,9,6,98,48,50,champions_league,Qualificata alla fase a gironi di Champions League. Pari punti con Lazio ma avanti negli scontri diretti: 4 punti e 6-5 complessivo.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Lazio,4,78,38,24,6,8,79,42,37,champions_league,Qualificata alla fase a gironi di Champions League. Pari punti con Atalanta ma dietro negli scontri diretti: 1 punto e 5-6 complessivo; rank ufficiale mantenuto.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Roma,5,70,38,21,7,10,77,51,26,europa_league,Qualificata alla fase a gironi di Europa League tramite piazzamento in campionato.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Milan,6,66,38,19,9,10,63,46,17,europa_league_qualifying,"Qualificata ai preliminari/qualificazioni di Europa League tramite piazzamento in campionato; Napoli, settima, prese il posto diretto da vincitrice Coppa Italia.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Napoli,7,62,38,18,8,12,61,50,11,europa_league,Settimo posto sportivo ma qualificata alla fase a gironi di Europa League come vincitrice della Coppa Italia 2019/20; rank invariato.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Sassuolo,8,51,38,14,9,15,69,63,6,none,"Ottavo posto: 51 punti, 14 vittorie, 9 pareggi, 15 sconfitte, 69 gol fatti e 63 subiti.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Hellas Verona,9,49,38,12,13,13,47,51,-4,none,"Pari punti con Fiorentina e Parma; mini-classifica scontri diretti: Hellas Verona 10 punti, Fiorentina 5, Parma 1.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Fiorentina,10,49,38,12,13,13,51,48,3,none,"Pari punti con Hellas Verona e Parma; mini-classifica scontri diretti: Hellas Verona 10 punti, Fiorentina 5, Parma 1.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Parma,11,49,38,14,7,17,56,57,-1,none,"Pari punti con Hellas Verona e Fiorentina; mini-classifica scontri diretti: Hellas Verona 10 punti, Fiorentina 5, Parma 1.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Bologna,12,47,38,12,11,15,52,65,-13,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Udinese,13,45,38,12,9,17,37,51,-14,none,Pari punti con Cagliari; Udinese avanti per scontri diretti: 6 punti e 3-1 complessivo.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Cagliari,14,45,38,11,12,15,52,56,-4,none,Pari punti con Udinese; Cagliari dietro per scontri diretti: 0 punti e 1-3 complessivo.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Sampdoria,15,42,38,12,6,20,48,65,-17,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Torino,16,40,38,11,7,20,46,68,-22,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Genoa,17,39,38,10,9,19,47,73,-26,none,Salva al 17° posto.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Lecce,18,35,38,9,8,21,52,85,-33,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,Brescia,19,25,38,6,7,25,35,79,-44,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
2019/20,Serie A,SPAL,20,20,38,5,5,28,27,77,-50,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2020.html,2026-08-10
