season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2009/10,Serie B,U.S. Lecce,1,75,42,20,15,7,66,47,19,champion|promoted,Campione Serie B 2009/10; promosso direttamente in Serie A.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,A.C. Cesena,2,74,42,20,14,8,55,29,26,promoted,Promosso direttamente in Serie A.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Brescia Calcio,3,72,42,21,9,12,60,44,16,playoff|playoff_winner|promoted,Partecipa ai playoff promozione e li vince: supera Cittadella in semifinale e Torino in finale; promosso in Serie A.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,U.S. Sassuolo Calcio,4,69,42,18,15,9,60,42,18,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminato dal Torino in semifinale.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Torino F.C.,5,68,42,19,11,12,53,36,17,playoff|playoff_eliminated,Partecipa ai playoff promozione; supera il Sassuolo in semifinale e perde la finale contro il Brescia.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,A.S. Cittadella,6,66,42,18,12,12,62,43,19,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminata dal Brescia in semifinale.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,U.S. Grosseto F.C.,7,61,42,14,19,9,66,63,3,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,F.C. Crotone,8,60,42,17,11,14,53,50,3,points_deduction,Punti sportivi teorici 62; punti ufficiali 60 dopo penalizzazione di 2 punti per irregolarità amministrative.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Ascoli Calcio 1898,9,57,42,15,12,15,57,57,0,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Empoli F.C.,10,56,42,15,11,16,66,56,10,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,U.C. AlbinoLeffe,11,55,42,14,13,15,59,56,3,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Reggina Calcio,12,54,42,15,9,18,51,56,-5,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Modena F.C.,13,54,42,14,12,16,39,47,-8,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Vicenza Calcio,14,53,42,12,17,13,40,41,-1,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Piacenza F.C.,15,53,42,13,14,15,40,45,-5,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Frosinone Calcio,16,53,42,15,8,19,50,67,-17,none,,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,A.C. Ancona,17,52,42,15,9,18,55,56,-1,points_deduction|excluded|not_admitted,Punti sportivi teorici 54; punti ufficiali 52 dopo penalizzazione di 2 punti per irregolarità amministrative/Co.Vi.Soc.; successivamente non ammessa/esclusa dalla Serie B 2010/11 per fallimento finanziario.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,U.S. Triestina Calcio,18,51,42,13,12,17,41,51,-10,playout|playout_loser|relegated,Partecipa al playout retrocessione contro Padova e lo perde sul campo; successivamente ripescata in Serie B 2010/11 in sostituzione dell’Ancona non ammessa.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Calcio Padova,19,51,42,12,15,15,44,48,-4,playout|playout_winner,Partecipa al playout retrocessione contro Triestina e lo vince; resta in Serie B.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,A.C. Mantova,20,48,42,10,18,14,46,58,-12,relegated|excluded|not_admitted,Retrocesso direttamente sul campo; successivamente fallito/non ammesso ai campionati professionistici.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Gallipoli Calcio,21,40,42,10,10,22,43,74,-31,relegated|excluded|not_admitted,"Retrocesso direttamente sul campo; penalizzazione iniziale di 1 punto annullata nell’ottobre 2009, quindi punti ufficiali senza detrazione; successivamente fallito/non ammesso.",RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
2009/10,Serie B,Salernitana Calcio 1919,22,17,42,5,8,29,40,80,-40,relegated|points_deduction,Punti sportivi teorici 23; punti ufficiali 17 dopo penalizzazione di 6 punti per illecito sportivo legato alla gara contro il Potenza della stagione 2007/08; retrocessa direttamente.,RSSSF + calcio-seriea.net + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2010.html,2026-08-10
